,name,lat1,lat2,lon1,lon2,Number_of_shop,ratingMean,Number_of_rating_Mean,Number_of_busStop,Number_of_Mtr,Number_of_competitor,district,predicted_sales,has_shop,rent,disposal,cost_per_grid
112,008-008,22.3574774,22.3815796,114.06235153333334,114.09411646666666,0,,,14,0,0,,3.398425190185813,0,0.27187401521486504,0.0,0.27187401521486504
113,008-009,22.3574774,22.3815796,114.09411646666666,114.1258814,11,3.5545454545454547,128.1818181818182,126,5,14,Tsuen Wan District,24.372907597172343,1,1.9498326077737875,12.611537753638338,14.561370361412125
114,008-010,22.3574774,22.3815796,114.1258814,114.15764633333332,10,3.69,60.8,104,1,7,,24.014878259998277,1,1.921190260799862,12.611537753638338,14.5327280144382
115,008-011,22.3574774,22.3815796,114.15764633333332,114.18941126666668,2,3.45,152.5,82,2,3,,17.412454583940498,1,1.3929963667152399,12.611537753638338,14.004534120353577
116,008-012,22.3574774,22.3815796,114.18941126666668,114.2211762,0,,,42,1,1,,8.947541256394649,0,0.7158033005115719,0.0,0.7158033005115719
117,008-013,22.3574774,22.3815796,114.2211762,114.25294113333334,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
118,008-014,22.3574774,22.3815796,114.25294113333334,114.28470606666669,0,,,15,0,0,,3.641169846627657,0,0.2912935877302126,0.0,0.2912935877302126
119,008-015,22.3574774,22.3815796,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
120,009-001,22.3815796,22.4056818,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
121,009-002,22.3815796,22.4056818,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
122,009-003,22.3815796,22.4056818,113.90352686666668,113.9352918,0,,,9,0,0,,2.184701907976594,0,0.1747761526381275,0.0,0.1747761526381275
123,009-004,22.3815796,22.4056818,113.9352918,113.96705673333334,0,,,11,0,3,,2.678775372964938,0,0.21430202983719504,0.0,0.21430202983719504
124,009-005,22.3815796,22.4056818,113.96705673333334,113.99882166666669,0,,,73,1,18,Tuen Mun,16.521269134684864,0,1.3217015307747892,0.0,1.3217015307747892
125,009-006,22.3815796,22.4056818,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
126,009-007,22.3815796,22.4056818,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
127,009-008,22.3815796,22.4056818,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
128,009-009,22.3815796,22.4056818,114.09411646666666,114.1258814,0,,,11,0,0,,2.6701912208602816,0,0.21361529766882253,0.0,0.21361529766882253
129,009-010,22.3815796,22.4056818,114.1258814,114.15764633333332,0,,,2,0,0,,0.4854893128836876,0,0.03883914503069501,0.0,0.03883914503069501
130,009-011,22.3815796,22.4056818,114.15764633333332,114.18941126666668,0,,,3,1,0,,-0.5223617288721429,0,-0.041788938309771435,0.0,-0.041788938309771435
131,009-012,22.3815796,22.4056818,114.18941126666668,114.2211762,1,3.8,60.0,70,4,13,Sha Tin,12.02694115059188,1,0.9621552920473504,12.611537753638338,13.573693045685689
132,009-013,22.3815796,22.4056818,114.2211762,114.25294113333334,0,,,2,0,1,,0.4883506969185731,0,0.03906805575348585,0.0,0.03906805575348585
133,009-014,22.3815796,22.4056818,114.25294113333334,114.28470606666669,0,,,22,0,0,Sai Kung Area,5.340382441720563,0,0.42723059533764507,0.0,0.42723059533764507
134,009-015,22.3815796,22.4056818,114.28470606666669,114.316471,0,,,17,0,0,,4.126659159511345,0,0.3301327327609076,0.0,0.3301327327609076
135,010-001,22.4056818,22.429784,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
136,010-002,22.4056818,22.429784,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
137,010-003,22.4056818,22.429784,113.90352686666668,113.9352918,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
138,010-004,22.4056818,22.429784,113.9352918,113.96705673333334,0,,,6,0,3,,1.4650520907557192,0,0.11720416726045754,0.0,0.11720416726045754
139,010-005,22.4056818,22.429784,113.96705673333334,113.99882166666669,0,,,48,1,9,,10.426900267324797,0,0.8341520213859838,0.0,0.8341520213859838
140,010-006,22.4056818,22.429784,113.99882166666669,114.0305866,0,,,11,0,0,,2.6701912208602816,0,0.21361529766882253,0.0,0.21361529766882253
141,010-007,22.4056818,22.429784,114.0305866,114.06235153333334,0,,,7,0,0,Yuen Long District,1.6992125950929065,0,0.13593700760743252,0.0,0.13593700760743252
142,010-008,22.4056818,22.429784,114.06235153333334,114.09411646666666,0,,,26,0,0,,6.311361067487939,0,0.5049088853990351,0.0,0.5049088853990351
143,010-009,22.4056818,22.429784,114.09411646666666,114.1258814,0,,,9,0,0,,2.184701907976594,0,0.1747761526381275,0.0,0.1747761526381275
144,010-010,22.4056818,22.429784,114.1258814,114.15764633333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
145,010-011,22.4056818,22.429784,114.15764633333332,114.18941126666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
146,010-012,22.4056818,22.429784,114.18941126666668,114.2211762,0,,,31,1,1,,6.2773500355343685,0,0.5021880028427494,0.0,0.5021880028427494
147,010-013,22.4056818,22.429784,114.2211762,114.25294113333334,1,3.3,72.0,46,4,15,,6.206792164057401,1,0.49654337312459207,12.611537753638338,13.10808112676293
148,010-014,22.4056818,22.429784,114.25294113333334,114.28470606666669,0,,,13,0,0,,3.1556805337439693,0,0.25245444269951756,0.0,0.25245444269951756
149,010-015,22.4056818,22.429784,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
150,011-001,22.429784,22.4538862,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
151,011-002,22.429784,22.4538862,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
152,011-003,22.429784,22.4538862,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
153,011-004,22.429784,22.4538862,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
154,011-005,22.429784,22.4538862,113.96705673333334,113.99882166666669,0,,,33,0,2,,8.016296430650616,0,0.6413037144520493,0.0,0.6413037144520493
155,011-006,22.429784,22.4538862,113.99882166666669,114.0305866,1,3.6,181.0,106,2,17,,23.278385715033146,1,1.8622708572026516,12.611537753638338,14.47380861084099
156,011-007,22.429784,22.4538862,114.0305866,114.06235153333334,0,,,36,1,3,,7.496796085813358,0,0.5997436868650686,0.0,0.5997436868650686
157,011-008,22.429784,22.4538862,114.06235153333334,114.09411646666666,0,,,38,1,0,,7.973701246592389,0,0.6378960997273911,0.0,0.6378960997273911
158,011-009,22.429784,22.4538862,114.09411646666666,114.1258814,0,,,30,0,0,,7.282339693255314,0,0.5825871754604252,0.0,0.5825871754604252
159,011-010,22.429784,22.4538862,114.1258814,114.15764633333332,0,,,14,0,0,,3.398425190185813,0,0.27187401521486504,0.0,0.27187401521486504
160,011-011,22.429784,22.4538862,114.15764633333332,114.18941126666668,2,3.5,106.5,69,2,21,Tai Po District,14.308278962824469,1,1.1446623170259576,12.611537753638338,13.756200070664296
161,011-012,22.429784,22.4538862,114.18941126666668,114.2211762,0,,,12,0,0,,2.912935877302125,0,0.23303487018417002,0.0,0.23303487018417002
162,011-013,22.429784,22.4538862,114.2211762,114.25294113333334,0,,,4,0,0,,0.9709786257673751,0,0.07767829006139002,0.0,0.07767829006139002
163,011-014,22.429784,22.4538862,114.25294113333334,114.28470606666669,0,,,3,0,0,,0.7282339693255313,0,0.058258717546042504,0.0,0.058258717546042504
164,011-015,22.429784,22.4538862,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
165,012-001,22.4538862,22.477988399999997,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
166,012-002,22.4538862,22.477988399999997,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
167,012-003,22.4538862,22.477988399999997,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
168,012-004,22.4538862,22.477988399999997,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
169,012-005,22.4538862,22.477988399999997,113.96705673333334,113.99882166666669,0,,,16,0,1,,3.886775887104386,0,0.3109420709683509,0.0,0.3109420709683509
170,012-006,22.4538862,22.477988399999997,113.99882166666669,114.0305866,0,,,52,0,3,,12.631306287080534,0,1.0105045029664428,0.0,1.0105045029664428
171,012-007,22.4538862,22.477988399999997,114.0305866,114.06235153333334,0,,,12,0,0,,2.912935877302125,0,0.23303487018417002,0.0,0.23303487018417002
172,012-008,22.4538862,22.477988399999997,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
173,012-009,22.4538862,22.477988399999997,114.09411646666666,114.1258814,0,,,15,0,0,,3.641169846627657,0,0.2912935877302126,0.0,0.2912935877302126
174,012-010,22.4538862,22.477988399999997,114.1258814,114.15764633333332,0,,,22,0,2,,5.346105209790334,0,0.4276884167832267,0.0,0.4276884167832267
175,012-011,22.4538862,22.477988399999997,114.15764633333332,114.18941126666668,0,,,40,0,4,,9.721231793813294,0,0.7776985435050635,0.0,0.7776985435050635
176,012-012,22.4538862,22.477988399999997,114.18941126666668,114.2211762,0,,,30,0,1,,7.2852010772902,0,0.582816086183216,0.0,0.582816086183216
177,012-013,22.4538862,22.477988399999997,114.2211762,114.25294113333334,0,,,9,0,0,,2.184701907976594,0,0.1747761526381275,0.0,0.1747761526381275
178,012-014,22.4538862,22.477988399999997,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
179,012-015,22.4538862,22.477988399999997,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
180,013-001,22.477988399999997,22.5020906,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
181,013-002,22.477988399999997,22.5020906,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
182,013-003,22.477988399999997,22.5020906,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
183,013-004,22.477988399999997,22.5020906,113.9352918,113.96705673333334,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
184,013-005,22.477988399999997,22.5020906,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
185,013-006,22.477988399999997,22.5020906,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
186,013-007,22.477988399999997,22.5020906,114.0305866,114.06235153333334,0,,,7,0,0,,1.6992125950929065,0,0.13593700760743252,0.0,0.13593700760743252
187,013-008,22.477988399999997,22.5020906,114.06235153333334,114.09411646666666,0,,,8,0,0,,1.9419572515347503,0,0.15535658012278003,0.0,0.15535658012278003
188,013-009,22.477988399999997,22.5020906,114.09411646666666,114.1258814,0,,,23,0,0,,5.583127098162407,0,0.4466501678529926,0.0,0.4466501678529926
189,013-010,22.477988399999997,22.5020906,114.1258814,114.15764633333332,0,,,77,2,1,North,16.19300853366151,0,1.2954406826929208,0.0,1.2954406826929208
190,013-011,22.477988399999997,22.5020906,114.15764633333332,114.18941126666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
191,013-012,22.477988399999997,22.5020906,114.18941126666668,114.2211762,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
192,013-013,22.477988399999997,22.5020906,114.2211762,114.25294113333334,0,,,8,0,0,,1.9419572515347503,0,0.15535658012278003,0.0,0.15535658012278003
193,013-014,22.477988399999997,22.5020906,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
194,013-015,22.477988399999997,22.5020906,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
195,014-001,22.5020906,22.526192799999997,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
196,014-002,22.5020906,22.526192799999997,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
197,014-003,22.5020906,22.526192799999997,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
198,014-004,22.5020906,22.526192799999997,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
199,014-005,22.5020906,22.526192799999997,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
200,014-006,22.5020906,22.526192799999997,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
201,014-007,22.5020906,22.526192799999997,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
202,014-008,22.5020906,22.526192799999997,114.06235153333334,114.09411646666666,1,3.5,4.0,13,0,0,,3.1556805337439693,1,0.25245444269951756,12.611537753638338,12.863992196337856
203,014-009,22.5020906,22.526192799999997,114.09411646666666,114.1258814,0,,,19,0,0,,4.612148472395032,0,0.36897187779160256,0.0,0.36897187779160256
204,014-010,22.5020906,22.526192799999997,114.1258814,114.15764633333332,0,,,26,0,0,,6.311361067487939,0,0.5049088853990351,0.0,0.5049088853990351
205,014-011,22.5020906,22.526192799999997,114.15764633333332,114.18941126666668,0,,,28,0,0,,6.796850380371626,0,0.5437480304297301,0.0,0.5437480304297301
206,014-012,22.5020906,22.526192799999997,114.18941126666668,114.2211762,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
207,014-013,22.5020906,22.526192799999997,114.2211762,114.25294113333334,0,,,4,0,0,,0.9709786257673751,0,0.07767829006139002,0.0,0.07767829006139002
208,014-014,22.5020906,22.526192799999997,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
209,014-015,22.5020906,22.526192799999997,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
210,015-001,22.526192799999997,22.550295,113.839997,113.87176193333332,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
211,015-002,22.526192799999997,22.550295,113.87176193333332,113.90352686666668,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
212,015-003,22.526192799999997,22.550295,113.90352686666668,113.9352918,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
213,015-004,22.526192799999997,22.550295,113.9352918,113.96705673333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
214,015-005,22.526192799999997,22.550295,113.96705673333334,113.99882166666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
215,015-006,22.526192799999997,22.550295,113.99882166666669,114.0305866,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
216,015-007,22.526192799999997,22.550295,114.0305866,114.06235153333334,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
217,015-008,22.526192799999997,22.550295,114.06235153333334,114.09411646666666,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
218,015-009,22.526192799999997,22.550295,114.09411646666666,114.1258814,0,,,3,1,0,,-0.5223617288721429,0,-0.041788938309771435,0.0,-0.041788938309771435
219,015-010,22.526192799999997,22.550295,114.1258814,114.15764633333332,0,,,22,0,0,,5.340382441720563,0,0.42723059533764507,0.0,0.42723059533764507
220,015-011,22.526192799999997,22.550295,114.15764633333332,114.18941126666668,0,,,2,0,0,,0.4854893128836876,0,0.03883914503069501,0.0,0.03883914503069501
221,015-012,22.526192799999997,22.550295,114.18941126666668,114.2211762,0,,,20,0,0,,4.854893128836876,0,0.3883914503069501,0.0,0.3883914503069501
222,015-013,22.526192799999997,22.550295,114.2211762,114.25294113333334,0,,,1,0,0,,0.2427446564418438,0,0.019419572515347504,0.0,0.019419572515347504
223,015-014,22.526192799999997,22.550295,114.25294113333334,114.28470606666669,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
224,015-015,22.526192799999997,22.550295,114.28470606666669,114.316471,0,,,0,0,0,,0.0,0,0.0,0.0,0.0
